Longitude,Latitude,Value
82.916527,54.967364,89474
82.767726,55.068497,35294
82.947181,54.945726,42573
83.080612,54.870431,50000
82.924249,55.01974,88019
82.898381,55.12786,62083
83.204042,54.841013,34333
83.12173,54.93808,55000
82.937354,55.043549,104455
82.967969,54.956706,54294
83.095048,54.972835,72737
82.933191,55.042418,75439
82.899075,55.045215,48354
82.916277,54.986818,68182
82.94589,55.041106,91258
82.964689,54.959511,75503
82.97853,54.863597,50597
82.888388,55.072806,30851
82.9915,54.99567,44655
82.965953,55.054507,68707
82.980844,54.864089,39455
82.954387,55.112391,63794
82.93461,55.06076,104951
82.964824,55.07338,63089
82.82223,54.984845,48837
83.020238,55.030444,75697
82.851284,54.984539,51961
82.953327,55.154279,50221
82.909388,54.932469,59911
82.754868,54.974762,47104
82.856166,54.985674,69189
83.072656,54.770929,46583
82.599154,54.797109,41084
82.909212,54.995091,85988
82.958796,55.099654,61321
82.749737,55.313645,36000
82.898712,54.977113,71250
82.965254,54.959628,77363
82.929612,55.040141,125464
82.819504,54.989536,59546
82.84405,54.96292,71770
82.981306,54.864591,36580
82.971414,55.112066,65191
82.937291,55.107594,78276
83.07131,54.917172,11000
83.509878,54.862255,9155
83.184519,54.938961,66577
83.053333,54.960329,31538
83.096047,54.765943,46664
83.007573,55.054878,38030
82.985384,54.940583,38633
82.946601,54.937441,59535
83.03938,54.984978,63636
83.170539,54.841377,62130
82.92896,55.032819,83036
83.103327,54.870982,70019
82.900543,54.931891,60345
82.966114,55.037878,68472
83.058735,54.976508,52381
82.809176,55.029128,51256
82.962528,55.065729,68558
82.641562,54.695177,26316
82.936855,55.073671,55480
82.915024,55.036446,87030
83.324171,55.218731,34615
83.107975,54.763814,50000
82.777476,55.075107,47033
82.940619,55.027956,88804
83.060418,54.964259,43273
82.891878,55.057747,70433
82.764546,55.312536,21595
82.958653,55.078585,62295
82.976224,55.039513,69194
82.936351,55.049873,82701
83.002355,54.943473,49554
82.96867,55.073316,82695
83.019318,55.030375,79298
82.886177,55.129183,73579
82.952624,55.112841,54864
83.080549,54.871221,130118
83.058913,54.75226,45349
83.083896,54.975666,74218
83.054013,54.964858,45424
82.86668,54.988028,63505
82.941144,55.112564,65319
82.876479,54.991905,52254
82.934385,55.026995,99129
82.897843,55.070704,36500
82.906401,55.057862,84423
82.95288,54.999897,61827
83.109848,54.953253,45161
82.945905,55.00987,65116
82.93683,55.100301,73124
83.09455,54.834412,120253
82.947858,55.176809,39444
82.876832,55.134998,111111
83.119376,55.158263,49005
83.020286,55.028296,73420
82.9963,55.038724,31667
82.965204,55.078763,64756
82.986919,55.042405,73889
83.003314,55.013893,41511
82.847447,54.967944,60622
83.113182,54.94834,45302
82.940895,55.02244,114953
82.973858,55.02538,44267
83.43171,55.037927,28049
82.860613,54.99359,62352
83.115874,54.838032,176712
82.90715,55.06654,65778
81.878214,54.37193,25000
82.925213,55.053591,71023
83.116705,54.837405,175000
82.740887,55.301692,26316
82.772115,55.09566,48716
83.122108,54.94258,63500
82.805982,55.030795,53333
83.084369,54.977785,62506
82.961169,55.177609,31653
82.868706,54.978913,126173
83.02548,55.034964,55475
83.168672,54.948225,43000
82.930913,55.047802,74643
83.022893,55.03484,88965
83.0542,54.853475,55037
83.05915,54.977242,40625
83.006621,55.016932,62992
82.92224,55.051901,67329
83.007066,54.988693,61739
83.303645,54.634135,46948
82.808143,55.02981,52093
82.707575,54.981193,54609
82.906936,55.045977,97949
83.092467,54.976695,56768
83.084319,54.972131,51327
82.916324,54.931284,50335
82.981517,55.16278,44723
83.094274,54.804568,46435
83.114561,54.937031,45389
82.964967,55.102791,58758
83.082108,54.973026,60091
82.964697,55.05484,54419
83.013733,54.998703,69662
83.053114,54.74344,43261
82.905365,54.989464,71458
82.975617,55.025888,48438
82.888878,55.032045,75283
82.867417,54.965218,65909
82.72516,54.991088,34524
82.976127,55.075427,73350
82.967301,54.960976,58627
82.811693,54.999949,69175
82.958674,55.035331,41223
82.957912,55.041503,74108
82.928454,54.937016,51248
82.967772,55.028654,67969
83.07867,54.734596,63333
83.195675,54.944559,74345
82.940053,55.023398,97364
82.907358,54.965428,42500
82.917387,55.03471,149707
82.919141,55.062809,39832
82.893842,54.997616,61681
